id,attributes,data
0,assays_assay_id,"['692', '310', '3111', '3110', '311', '3109', '3108', '3107', '3106', '3105', '3104', '3103', '3102', '3101', '3100', '31', '3086', '3099', '3098', '3097', '3096', '3095', '3094', '3093', '3092', '3091', '3090', '309', '3089', '3088', '3112', '3113', '3114', '3115', '314', '3139', '3138', '3137', '3136', '3135', '3134', '3133', '3132', '3131', '3130', '313', '3129', '3128', '3127', '3126', '3125', '3124', '3123', '3122', '3121', '3120', '312', '3119', '3118', '3117', '3116', '3087', '3085', '691', '3043', '3055', '3054', '3053', '3052', '3051', '3050', '305', '3049', '3048', '3047', '3046', '3045', '3044', '3042', '3084', '3041', '3040', '304', '3039', '3038', '3037', '3036', '3035', '3034', '3033', '3032', '3031', '3030', '3056', '3057', '3058', '3059', '3083', '3082', '3081', '3080', '308', '3079', '3078', '3077', '3076', '3075', '3074', '3073', '3072', '3071', '3070', '307', '3069', '3068', '3067', '3066', '3065', '3064', '3063', '3062', '3061', '3060', '306', '3140', '3141', '3142', '3212', '3224', '3223', '3222', '3221', '3220', '322', '3219', '3218', '3217', '3216', '3215', '3214', '3213', '3211', '3143', '3210', '321', '3209', '3208', '3207', '3206', '3205', '3204', '3203', '3202', '3201', '3200', '320', '3225', '3226', '3227', '3228', '3252', '3251', '3250', '325', '3249', '3248', '3247', '3246', '3245', '3244', '3243', '3242', '3241', '3240', '324', '3239', '3238', '3237', '3236', '3235', '3234', '3233', '3232', '3231', '3230', '323', '3229', '32', '3199', '3198', '317', '3168', '3167', '3166', '3165', '3164', '3163', '3162', '3161', '3160', '316', '3159', '3158', '3157', '3156', '3155', '3154', '3153', '3152', '3151', '3150', '315', '3149', '3148', '3147', '3146', '3145', '3144', '3169', '3170', '3197', '3171', '3196', '3195', '3194', '3193', '3192', '3191', '3190', '319', '3189', '3188', '3187', '3186', '3185', '3184', '3183', '3182', '3181', '3180', '318', '3179', '3178', '3177', '3176', '3175', '3174', '3173', '3172', '303', '3029', '3028', '2874', '2886', '2885', '2884', '2883', '2882', '2881', '2880', '288', '2879', '2878', '2877', '2876', '2875', '2873', '2915', '2872', '2871', '2870', '287', '2869', '2868', '2867', '2866', '2865', '2864', '2863', '2862', '2861', '2887', '2888', '2889', '289', '2913', '2912', '2911', '2910', '291', '2909', '2908', '2907', '2906', '2905', '2904', '2903', '2902', '2901', '2900', '290', '29', '2899', '2898', '2897', '2896', '2895', '2894', '2893', '2892', '2891', '2890', '2860', '286', '2859', '2830', '2829', '2828', '2827', '2826', '2825', '2824', '2823', '2822', '2821', '2820', '282', '2819', '2818', '2817', '2816', '2815', '2814', '2813', '2812', '2811', '2810', '281', '2809', '2808', '2807', '2806', '2805', '283', '2831', '2858', '2832', '2857', '2856', '2855', '2854', '2853', '2852', '2851', '2850', '285', '2849', '2848', '2847', '2846', '2845', '2844', '2843', '2842', '2841', '2840', '284', '2839', '2838', '2837', '2836', '2835', '2834', '2833', '2914', '2916', '3027', '2988', '3', '2999', '2998', '2997', '2996', '2995', '2994', '2993', '2992', '2991', '2990', '299', '2989', '2987', '2917', '2986', '2985', '2984', '2983', '2982', '2981', '2980', '298', '2979', '2978', '2977', '2976', '2975', '30', '300', '3000', '3001', '3026', '3025', '3024', '3023', '3022', '3021', '3020', '302', '3019', '3018', '3017', '3016', '3015', '3014', '3013', '3012', '3011', '3010', '301', '3009', '3008', '3007', '3006', '3005', '3004', '3003', '3002', '2974', '2973', '2972', '2944', '2942', '2941', '2940', '294', '2939', '2938', '2937', '2936', '2935', '2934', '2933', '2932', '2931', '2930', '293', '2929', '2928', '2927', '2926', '2925', '2924', '2923', '2922', '2920', '292', '2919', '2918', '2943', '2945', '2971', '2946', '2970', '297', '2969', '2968', '2967', '2966', '2965', '2964', '2963', '2962', '2961', '2960', '296', '2959', '2958', '2957', '2956', '2955', '2954', '2953', '2952', '2951', '2950', '295', '2949', '2948', '2947', '3253', '3254', '3255', '491', '502', '501', '500', '50', '5', '499', '498', '497', '496']"
1,assays_tid,"['50597', '22224', '50594', '50588', '10576', '51', '104686', '12687', '104698', '105', '108', '107', '106', '22226', '22229', '104714', '12689', '20033', '10627', '10577', '50592', '10209', '227', '10623', '100710', '168', '104744', '11863', '80006', '50587', '80951', '104784', '50602', '80620', '279', '10618', '12688', '10624', '144', '12166', '50512', '10825', '105570', '104705', '11923', '17106', '17005', '80002', '105030', '12054', '11303', '12020', '100171', '11607', '12132', '50797', '50506', '100712', '105075', '50339', '104826', '81020', '12052', '11134', '12236', '11231', '12198', '19690', '55', '10578', '11864', '104841', '80001', '80007', '100256', '80619', '121', '12464', '80622', '10625', '50545', '22222', '100120', '18065', '80612', '50185', '50527', '10628', '11169', '19640', '11249', '10622', '50665', '12083', '12971', '10201', '17087', '50212', '11862', '13053', '12220', '104832', '11601', '50497', '11512', '105093', '10621', '10626', '10620', '10619', '50606', '50679', '68', '80360', '80613', '80614', '80616', '100263', '81034', '104802', '9', '11214', '11765', '11489', '20001', '241', '188', '11490', '11377', '10630', '191', '104703', '80609', '104729', '104733', '104740', '80384', '120', '10328', '104290', '18077', '180', '80617', '80621', '17105', '84', '100249', '10022', '81072', '100122', '100121', '11835', '80156', '104817', '104821', '50145', '50264', '50278', '50347', '50085', '50064', '11143', '12347', '10612', '50505', '50591', '235', '105571', '105102', '50677', '11591', '104860', '104848', '80049', '104835', '10732', '12426']"
2,assays_relationship_type,"['n', 'h', 'u']"
3,assays_confidence_score,"['1', '8', '0', '9', '4', '6', '5', '7', '3', '2']"
4,assays_curated_by,"['intermedi', 'autocur', 'expert']"
5,assays_src_id,['1']
6,assays_src_assay_id,
7,assays_chembl_id,"['chembl627306', 'chembl626057', 'chembl626070', 'chembl626069', 'chembl626068', 'chembl626067', 'chembl626066', 'chembl626065', 'chembl626064', 'chembl626063', 'chembl626062', 'chembl626061', 'chembl626060', 'chembl626059', 'chembl626058', 'chembl626056', 'chembl626041', 'chembl626055', 'chembl626054', 'chembl626053', 'chembl626052', 'chembl626051', 'chembl626050', 'chembl626049', 'chembl626048', 'chembl626047', 'chembl626046', 'chembl626045', 'chembl626044', 'chembl626043', 'chembl626071', 'chembl626072', 'chembl626073', 'chembl626074', 'chembl626101', 'chembl626100', 'chembl626099', 'chembl626098', 'chembl626097', 'chembl626096', 'chembl626095', 'chembl626094', 'chembl626093', 'chembl626092', 'chembl626091', 'chembl626090', 'chembl626089', 'chembl626088', 'chembl626087', 'chembl626086', 'chembl626085', 'chembl626084', 'chembl626083', 'chembl626082', 'chembl626081', 'chembl626080', 'chembl626079', 'chembl626078', 'chembl626077', 'chembl626076', 'chembl626075', 'chembl626042', 'chembl626040', 'chembl627305', 'chembl625990', 'chembl626003', 'chembl626002', 'chembl626001', 'chembl626000', 'chembl625999', 'chembl625998', 'chembl625997', 'chembl625996', 'chembl625995', 'chembl625994', 'chembl625993', 'chembl625992', 'chembl625991', 'chembl625989', 'chembl626039', 'chembl625988', 'chembl625987', 'chembl625986', 'chembl625985', 'chembl625984', 'chembl625983', 'chembl625982', 'chembl625981', 'chembl625980', 'chembl625979', 'chembl625978', 'chembl625977', 'chembl625976', 'chembl626004', 'chembl626005', 'chembl626006', 'chembl626007', 'chembl626038', 'chembl626037', 'chembl626036', 'chembl626035', 'chembl626034', 'chembl626033', 'chembl626032', 'chembl626031', 'chembl626030', 'chembl626029', 'chembl626028', 'chembl626027', 'chembl626026', 'chembl626025', 'chembl626024', 'chembl626023', 'chembl626018', 'chembl626017', 'chembl626016', 'chembl626015', 'chembl626014', 'chembl626013', 'chembl626012', 'chembl626011', 'chembl626010', 'chembl626009', 'chembl626008', 'chembl626102', 'chembl626103', 'chembl626117', 'chembl626208', 'chembl626221', 'chembl626220', 'chembl626219', 'chembl626218', 'chembl626217', 'chembl626216', 'chembl626215', 'chembl626214', 'chembl626213', 'chembl626212', 'chembl626211', 'chembl626210', 'chembl626209', 'chembl626207', 'chembl626118', 'chembl626206', 'chembl626205', 'chembl626191', 'chembl626190', 'chembl626189', 'chembl626188', 'chembl626187', 'chembl626186', 'chembl626185', 'chembl626184', 'chembl626183', 'chembl626182', 'chembl626181', 'chembl626222', 'chembl626223', 'chembl626224', 'chembl626225', 'chembl626252', 'chembl626251', 'chembl626250', 'chembl626249', 'chembl626248', 'chembl626247', 'chembl626246', 'chembl626245', 'chembl626244', 'chembl626243', 'chembl626242', 'chembl626241', 'chembl626240', 'chembl626239', 'chembl626238', 'chembl626237', 'chembl626236', 'chembl626235', 'chembl626234', 'chembl626233', 'chembl626232', 'chembl626231', 'chembl626230', 'chembl626229', 'chembl626228', 'chembl626227', 'chembl626226', 'chembl626180', 'chembl626179', 'chembl626178', 'chembl626147', 'chembl626145', 'chembl626144', 'chembl626143', 'chembl626142', 'chembl626141', 'chembl626140', 'chembl626139', 'chembl626138', 'chembl626137', 'chembl626136', 'chembl626135', 'chembl626134', 'chembl626133', 'chembl626132', 'chembl626131', 'chembl626130', 'chembl626129', 'chembl626128', 'chembl626127', 'chembl626126', 'chembl626125', 'chembl626124', 'chembl626123', 'chembl626122', 'chembl626121', 'chembl626120', 'chembl626119', 'chembl626146', 'chembl626148', 'chembl626177', 'chembl626149', 'chembl626176', 'chembl626175', 'chembl626174', 'chembl626173', 'chembl626172', 'chembl626171', 'chembl626170', 'chembl626169', 'chembl626168', 'chembl626167', 'chembl626166', 'chembl626165', 'chembl626164', 'chembl626163', 'chembl626162', 'chembl626161', 'chembl626160', 'chembl626159', 'chembl626158', 'chembl626157', 'chembl626156', 'chembl626155', 'chembl626154', 'chembl626153', 'chembl626152', 'chembl626151', 'chembl626150', 'chembl625975', 'chembl625974', 'chembl625973', 'chembl625764', 'chembl625777', 'chembl625776', 'chembl625775', 'chembl625774', 'chembl625773', 'chembl625772', 'chembl625771', 'chembl625770', 'chembl625769', 'chembl625768', 'chembl625767', 'chembl625766', 'chembl625765', 'chembl625734', 'chembl625845', 'chembl625733', 'chembl625732', 'chembl625731', 'chembl625730', 'chembl625729', 'chembl625728', 'chembl625727', 'chembl625726', 'chembl625725', 'chembl625724', 'chembl625723', 'chembl625722', 'chembl625721', 'chembl625778', 'chembl625779', 'chembl625780', 'chembl625781', 'chembl625843', 'chembl625842', 'chembl625841', 'chembl625840', 'chembl625804', 'chembl625803', 'chembl625802', 'chembl625801', 'chembl625800', 'chembl625799', 'chembl625798', 'chembl625797', 'chembl625796', 'chembl625795', 'chembl625794', 'chembl625793', 'chembl625792', 'chembl625791', 'chembl625790', 'chembl625789', 'chembl625788', 'chembl625787', 'chembl625786', 'chembl625785', 'chembl625784', 'chembl625783', 'chembl625782', 'chembl625720', 'chembl625719', 'chembl625718', 'chembl625669', 'chembl625667', 'chembl625666', 'chembl625663', 'chembl625662', 'chembl625661', 'chembl625660', 'chembl625659', 'chembl625658', 'chembl625657', 'chembl625656', 'chembl625655', 'chembl625654', 'chembl625653', 'chembl625652', 'chembl625651', 'chembl625650', 'chembl625649', 'chembl625648', 'chembl625647', 'chembl625646', 'chembl625645', 'chembl625644', 'chembl625643', 'chembl625642', 'chembl625641', 'chembl625640', 'chembl625639', 'chembl625668', 'chembl625670', 'chembl625717', 'chembl625671', 'chembl625716', 'chembl625715', 'chembl625714', 'chembl625713', 'chembl625712', 'chembl625711', 'chembl625710', 'chembl625709', 'chembl625708', 'chembl625707', 'chembl625706', 'chembl625705', 'chembl625704', 'chembl625703', 'chembl625702', 'chembl625701', 'chembl625700', 'chembl625699', 'chembl625698', 'chembl625697', 'chembl625696', 'chembl625695', 'chembl625676', 'chembl625675', 'chembl625674', 'chembl625673', 'chembl625672', 'chembl625844', 'chembl625846', 'chembl625972', 'chembl625924', 'chembl625937', 'chembl625936', 'chembl625935', 'chembl625934', 'chembl625933', 'chembl625932', 'chembl625931', 'chembl625930', 'chembl625929', 'chembl625928', 'chembl625927', 'chembl625926', 'chembl625925', 'chembl625923', 'chembl625847', 'chembl625922', 'chembl625921', 'chembl625920', 'chembl625919', 'chembl625918', 'chembl625917', 'chembl625916', 'chembl625915', 'chembl625914', 'chembl625913', 'chembl625912', 'chembl625911', 'chembl625910', 'chembl625938', 'chembl625939', 'chembl625940', 'chembl625941', 'chembl625971', 'chembl625970', 'chembl625969', 'chembl625968', 'chembl625967', 'chembl625966', 'chembl625965', 'chembl625964', 'chembl625963', 'chembl625959', 'chembl625958', 'chembl625957', 'chembl625956', 'chembl625955', 'chembl625954', 'chembl625953', 'chembl625952', 'chembl625951', 'chembl625950', 'chembl625949', 'chembl625948', 'chembl625947', 'chembl625946', 'chembl625945', 'chembl625944', 'chembl625943', 'chembl625942', 'chembl625909', 'chembl625908', 'chembl625907', 'chembl625876', 'chembl625874', 'chembl625873', 'chembl625872', 'chembl625871', 'chembl625870', 'chembl625869', 'chembl625868', 'chembl625867', 'chembl625866', 'chembl625865', 'chembl625864', 'chembl625863', 'chembl625862', 'chembl625861', 'chembl625860', 'chembl625859', 'chembl625858', 'chembl625857', 'chembl625856', 'chembl625855', 'chembl625854', 'chembl625853', 'chembl625852', 'chembl625851', 'chembl625850', 'chembl625849', 'chembl625848', 'chembl625875', 'chembl625877', 'chembl625906', 'chembl625878', 'chembl625905', 'chembl625904', 'chembl625903', 'chembl625902', 'chembl625901', 'chembl625900', 'chembl625899', 'chembl625898', 'chembl625897', 'chembl625896', 'chembl625895', 'chembl625894', 'chembl625893', 'chembl625892', 'chembl625891', 'chembl625890', 'chembl625889', 'chembl625888', 'chembl625887', 'chembl625886', 'chembl625885', 'chembl625884', 'chembl625883', 'chembl625882', 'chembl625881', 'chembl625880', 'chembl625879', 'chembl626253', 'chembl626254', 'chembl626255', 'chembl627059', 'chembl627072', 'chembl627071', 'chembl627070', 'chembl627069', 'chembl627068', 'chembl627067', 'chembl627066', 'chembl627065', 'chembl627064']"
8,assays_cell_id,"['449.0', '722.0', '723.0', '620.0', '308.0', '485.0', '847.0', '506.0', '726.0', '163.0', '643.0', '621.0', '1118.0', '833.0', '388.0', '307.0', '433.0', '635.0', '702.0', '673.0', '339.0', '401.0', '478.0', '625.0', '524.0', '561.0', '798.0', '844.0', '389.0', '294.0', '1167.0', '971.0', '468.0', '495.0', '503.0', '649.0', '700.0', '832.0', '554.0']"
9,assays_bao_format,"['bao_0000218', 'bao_0000019', 'bao_0000357', 'bao_0000219', 'bao_0000221', 'bao_0000249', 'bao_0000224', 'bao_0000100', 'bao_0000223', 'bao_0000251', 'bao_0000220', 'bao_0000225', 'bao_0000366']"
